Date of Sale,Region,Product Type,Sales Channel,Customer Type,Sales Amount in US$,Units Sold,Marketing Spend in US$,Returning Customer
15-02-2022,North America,DevTools,Online,Consumer,2636,8,808,No
16-02-2022,Europe,ERP,Online,Business,2621,11,654,Yes
17-02-2022,Australia,ERP,Online,Business,9494,19,969,No
18-02-2022,Asia,DevTools,Online,Consumer,6391,4,1828,No
19-02-2022,North America,Antivirus,Partner,Business,1643,10,1283,No
20-02-2022,Europe,ERP,Direct Sales,Consumer,7250,13,703,No
21-02-2022,North America,ERP,Direct Sales,Consumer,7248,14,804,No
22-02-2022,North America,Database,Online,Consumer,6698,2,967,No
23-02-2022,Asia,DevTools,Online,Consumer,1434,4,1385,Yes
24-02-2022,Australia,CRM,Online,Business,4139,7,999,No
25-02-2022,North America,Antivirus,Partner,Consumer,1157,19,1621,Yes
26-02-2022,Europe,Antivirus,Partner,Consumer,8185,17,1424,Yes
27-02-2022,South America,DevTools,Direct Sales,Business,6586,16,1811,Yes
28-02-2022,North America,Database,Online,Business,5121,13,1251,No
01-03-2022,North America,Database,Online,Business,3496,18,997,No
02-03-2022,Asia,DevTools,Online,Consumer,1924,12,1994,No
03-03-2022,Australia,Database,Online,Business,1154,1,1033,No
04-03-2022,South America,Antivirus,Partner,Consumer,9695,15,1143,Yes
05-03-2022,Europe,Antivirus,Direct Sales,Consumer,2077,3,1714,No
06-03-2022,South America,CRM,Direct Sales,Business,693,6,633,Yes
07-03-2022,Europe,DevTools,Partner,Business,9621,14,1080,No
08-03-2022,Australia,ERP,Online,Business,5535,6,629,No
09-03-2022,Europe,ERP,Direct Sales,Business,7987,1,709,Yes
10-03-2022,Asia,CRM,Direct Sales,Business,533,6,507,Yes
11-03-2022,Asia,CRM,Partner,Business,5713,8,514,Yes
12-03-2022,Asia,Database,Online,Consumer,4042,15,1070,No
13-03-2022,Asia,CRM,Direct Sales,Consumer,7742,14,1714,Yes
14-03-2022,South America,CRM,Online,Business,480,16,1381,Yes
15-03-2022,Australia,ERP,Direct Sales,Consumer,4077,16,1452,Yes
16-03-2022,Europe,Database,Partner,Consumer,8011,19,1279,No
17-03-2022,Europe,CRM,Online,Consumer,5275,1,1730,Yes
18-03-2022,Asia,CRM,Partner,Consumer,5545,4,1821,Yes
19-03-2022,Asia,Database,Direct Sales,Consumer,1062,10,1775,No
20-03-2022,North America,DevTools,Partner,Consumer,1410,18,1718,Yes
21-03-2022,Australia,Database,Partner,Business,6802,2,774,Yes
22-03-2022,South America,ERP,Partner,Business,6783,4,1391,Yes
23-03-2022,Europe,DevTools,Direct Sales,Business,9793,15,1373,No
24-03-2022,North America,Antivirus,Online,Consumer,7148,4,1292,Yes
25-03-2022,North America,Database,Partner,Business,4983,16,1221,Yes
26-03-2022,Europe,ERP,Online,Business,8588,15,634,Yes
27-03-2022,South America,DevTools,Direct Sales,Business,1134,18,653,Yes
28-03-2022,North America,Database,Online,Consumer,4548,7,1853,Yes
29-03-2022,North America,CRM,Partner,Business,2942,15,1445,Yes
30-03-2022,Australia,Database,Partner,Consumer,1136,11,893,Yes
31-03-2022,South America,Antivirus,Partner,Business,7659,19,919,No
01-04-2022,North America,Database,Partner,Business,5157,8,1415,No
02-04-2022,South America,DevTools,Partner,Business,5612,1,1110,No
03-04-2022,Europe,DevTools,Partner,Consumer,4171,3,1162,Yes
04-04-2022,Asia,Database,Direct Sales,Consumer,4657,5,591,No
05-04-2022,North America,DevTools,Direct Sales,Consumer,1249,18,708,Yes
06-04-2022,Australia,CRM,Direct Sales,Consumer,6762,12,1090,Yes
07-04-2022,Europe,Database,Online,Consumer,4381,12,1550,Yes
08-04-2022,South America,CRM,Online,Business,8186,19,572,No
09-04-2022,Europe,CRM,Direct Sales,Business,2043,9,1002,No
10-04-2022,North America,ERP,Online,Consumer,2130,11,1543,Yes
11-04-2022,South America,Database,Online,Consumer,6493,17,1688,Yes
12-04-2022,Asia,DevTools,Partner,Business,8475,16,785,No
13-04-2022,Europe,CRM,Partner,Consumer,4775,4,1597,No
14-04-2022,North America,ERP,Online,Business,7297,10,1933,No
15-04-2022,Australia,Database,Online,Consumer,9993,15,1860,No
16-04-2022,South America,Database,Direct Sales,Business,9904,19,1684,No
17-04-2022,Europe,Antivirus,Online,Consumer,7469,3,1568,No
18-04-2022,Europe,Antivirus,Partner,Consumer,7422,5,853,No
19-04-2022,Asia,CRM,Online,Business,2551,11,1451,Yes
20-04-2022,Asia,Antivirus,Direct Sales,Business,8352,5,1465,Yes
21-04-2022,Australia,CRM,Partner,Consumer,4111,7,1110,No
22-04-2022,Australia,DevTools,Partner,Consumer,9624,6,1240,No
23-04-2022,North America,CRM,Partner,Business,906,13,1541,Yes
24-04-2022,North America,Antivirus,Partner,Consumer,4415,2,1928,No
25-04-2022,Australia,DevTools,Online,Business,5603,19,943,Yes
26-04-2022,Australia,Antivirus,Direct Sales,Business,4111,11,870,Yes
27-04-2022,South America,CRM,Online,Consumer,2185,5,1403,No
28-04-2022,Asia,ERP,Online,Business,5971,9,696,Yes
29-04-2022,North America,Database,Partner,Business,7584,6,1374,No
30-04-2022,Asia,Antivirus,Direct Sales,Consumer,6484,17,633,No
01-05-2022,Asia,CRM,Partner,Business,2421,19,1236,Yes
02-05-2022,Australia,DevTools,Online,Business,7343,8,1431,Yes
03-05-2022,South America,Antivirus,Online,Business,2643,7,605,Yes
04-05-2022,Europe,Antivirus,Partner,Business,1835,5,810,No
05-05-2022,South America,Database,Online,Consumer,6938,15,1003,No
06-05-2022,South America,CRM,Online,Business,8444,10,1053,No
07-05-2022,Asia,ERP,Partner,Consumer,4867,16,1514,No
08-05-2022,South America,DevTools,Online,Business,5361,9,1294,No
09-05-2022,North America,CRM,Direct Sales,Consumer,3097,7,1073,No
10-05-2022,Asia,DevTools,Partner,Business,4997,11,1176,No
11-05-2022,North America,Antivirus,Direct Sales,Consumer,1407,9,519,Yes
12-05-2022,Europe,Database,Online,Business,9563,17,1656,No
13-05-2022,Asia,Database,Online,Business,8024,9,562,Yes
14-05-2022,Europe,ERP,Partner,Business,6713,3,1744,Yes
15-05-2022,Asia,Database,Online,Business,5428,8,1311,No
16-05-2022,Australia,Antivirus,Partner,Consumer,7942,19,1292,Yes
17-05-2022,South America,ERP,Partner,Consumer,4998,16,1557,Yes
18-05-2022,Australia,CRM,Partner,Business,3070,7,1789,Yes
19-05-2022,Europe,Database,Partner,Consumer,1688,7,1914,No
20-05-2022,South America,ERP,Partner,Business,6511,13,1315,Yes
21-05-2022,Asia,Antivirus,Direct Sales,Business,9301,3,726,No
22-05-2022,South America,DevTools,Partner,Consumer,1621,12,1818,No
23-05-2022,North America,DevTools,Direct Sales,Consumer,1882,8,561,No
24-05-2022,South America,Antivirus,Online,Consumer,4393,13,1711,Yes
25-05-2022,North America,Antivirus,Partner,Business,8088,16,1521,Yes
26-05-2022,South America,DevTools,Online,Business,3010,7,1857,No
27-05-2022,North America,ERP,Partner,Consumer,2614,4,1846,No
28-05-2022,Europe,DevTools,Direct Sales,Business,6238,12,580,No
29-05-2022,Australia,Antivirus,Direct Sales,Consumer,5403,17,1414,Yes
30-05-2022,Asia,Database,Direct Sales,Consumer,696,1,687,Yes
31-05-2022,South America,CRM,Online,Consumer,907,17,618,Yes
01-06-2022,Australia,Database,Partner,Consumer,6466,2,1172,Yes
02-06-2022,Asia,Database,Online,Consumer,4705,6,646,Yes
03-06-2022,Asia,Antivirus,Direct Sales,Consumer,9713,12,1592,Yes
04-06-2022,North America,DevTools,Online,Business,6817,11,1953,Yes
05-06-2022,Europe,ERP,Direct Sales,Business,200,11,1354,No
06-06-2022,Europe,Database,Direct Sales,Consumer,4862,18,853,Yes
07-06-2022,Australia,DevTools,Direct Sales,Consumer,4203,8,1765,No
08-06-2022,Europe,ERP,Partner,Consumer,1156,7,1780,Yes
09-06-2022,South America,Database,Partner,Business,9240,14,1599,No
10-06-2022,Europe,ERP,Direct Sales,Consumer,8070,16,1423,Yes
11-06-2022,Australia,DevTools,Online,Consumer,2378,12,1802,Yes
12-06-2022,Europe,CRM,Online,Consumer,2634,9,745,Yes
13-06-2022,South America,DevTools,Partner,Business,417,16,1897,No
14-06-2022,North America,Antivirus,Direct Sales,Consumer,3038,19,1921,Yes
15-06-2022,Australia,ERP,Online,Business,5888,16,1808,Yes
16-06-2022,North America,CRM,Direct Sales,Business,4266,9,876,No
17-06-2022,North America,ERP,Online,Consumer,9696,13,1787,Yes
18-06-2022,North America,ERP,Partner,Business,655,5,1246,Yes
19-06-2022,Asia,Database,Direct Sales,Business,5955,19,1392,No
20-06-2022,Asia,Antivirus,Direct Sales,Business,8597,10,1761,Yes
21-06-2022,North America,ERP,Online,Consumer,4859,7,544,No
22-06-2022,Australia,DevTools,Online,Business,129,9,1044,No
23-06-2022,South America,DevTools,Online,Consumer,2504,14,1724,No
24-06-2022,South America,Database,Direct Sales,Consumer,3305,15,1721,Yes
25-06-2022,Europe,Antivirus,Partner,Consumer,9663,13,1773,Yes
26-06-2022,Australia,Antivirus,Partner,Business,9127,10,754,No
27-06-2022,Asia,DevTools,Online,Consumer,9497,14,1559,No
28-06-2022,North America,CRM,Partner,Business,8275,12,720,Yes
29-06-2022,Europe,Database,Online,Business,3581,19,1678,Yes
30-06-2022,South America,Database,Partner,Business,9068,6,868,Yes
01-07-2022,Asia,DevTools,Direct Sales,Business,9819,12,1607,No
02-07-2022,Asia,DevTools,Online,Consumer,3566,13,1183,Yes
03-07-2022,North America,CRM,Partner,Consumer,2680,8,1979,No
04-07-2022,South America,CRM,Direct Sales,Business,5514,16,1370,No
05-07-2022,Australia,Antivirus,Partner,Consumer,1953,2,1449,Yes
06-07-2022,Asia,Database,Direct Sales,Consumer,423,7,1052,Yes
07-07-2022,North America,Database,Direct Sales,Consumer,9464,12,1602,No
08-07-2022,Australia,DevTools,Partner,Business,9265,7,1242,No
09-07-2022,South America,Antivirus,Partner,Consumer,1710,19,527,Yes
10-07-2022,Asia,Database,Direct Sales,Business,4137,14,1413,No
11-07-2022,Australia,Antivirus,Direct Sales,Consumer,8327,9,1746,Yes
12-07-2022,Australia,Antivirus,Direct Sales,Business,6644,18,855,Yes
13-07-2022,Australia,DevTools,Online,Business,4008,11,832,No
14-07-2022,Asia,Antivirus,Direct Sales,Business,7467,16,1413,No
15-07-2022,Asia,CRM,Online,Consumer,8981,19,1727,Yes
16-07-2022,Europe,CRM,Direct Sales,Business,9269,11,874,No
17-07-2022,South America,ERP,Online,Consumer,3851,18,1898,No
18-07-2022,North America,DevTools,Direct Sales,Business,1818,11,1891,Yes
19-07-2022,Australia,ERP,Direct Sales,Consumer,9137,4,801,No
20-07-2022,Europe,CRM,Direct Sales,Business,1016,18,896,Yes
21-07-2022,North America,ERP,Partner,Consumer,7245,19,1551,No
22-07-2022,Europe,DevTools,Partner,Business,1491,13,1928,Yes
23-07-2022,Asia,DevTools,Direct Sales,Business,3955,4,1565,No
24-07-2022,Australia,Antivirus,Online,Business,4174,10,1167,No
25-07-2022,North America,Database,Online,Consumer,1672,5,754,No
26-07-2022,North America,Antivirus,Direct Sales,Business,9235,3,1192,No
27-07-2022,North America,DevTools,Partner,Business,126,16,1410,No
28-07-2022,North America,CRM,Online,Business,8949,8,996,No
29-07-2022,North America,CRM,Partner,Business,8850,7,1265,No
30-07-2022,Europe,Antivirus,Online,Consumer,3238,19,695,No
31-07-2022,Australia,DevTools,Direct Sales,Business,7072,14,1178,Yes
01-08-2022,Asia,CRM,Partner,Business,2603,15,636,No
02-08-2022,Asia,DevTools,Online,Consumer,7612,17,574,No
03-08-2022,Asia,CRM,Direct Sales,Consumer,5655,1,1786,No
04-08-2022,Asia,DevTools,Direct Sales,Consumer,3072,6,808,No
05-08-2022,Europe,ERP,Direct Sales,Business,4062,15,1363,No
06-08-2022,South America,DevTools,Partner,Consumer,6930,12,723,Yes
07-08-2022,Australia,DevTools,Partner,Consumer,9070,2,894,Yes
08-08-2022,North America,Antivirus,Direct Sales,Consumer,1394,5,1042,No
09-08-2022,South America,ERP,Partner,Business,5757,9,716,No
10-08-2022,Asia,Database,Online,Business,2612,14,569,No
11-08-2022,South America,Antivirus,Direct Sales,Business,8034,18,1816,No
12-08-2022,Australia,Database,Direct Sales,Consumer,795,8,518,Yes
13-08-2022,North America,CRM,Partner,Business,6921,2,592,No
14-08-2022,North America,Database,Direct Sales,Consumer,1832,9,1708,Yes
15-08-2022,Australia,DevTools,Online,Consumer,6004,7,923,No
16-08-2022,Australia,Database,Partner,Consumer,8373,18,1584,Yes
17-08-2022,Asia,Antivirus,Partner,Business,7575,16,719,Yes
18-08-2022,North America,Antivirus,Direct Sales,Consumer,7554,5,856,Yes
19-08-2022,South America,Database,Direct Sales,Consumer,5227,15,1359,No
20-08-2022,Europe,Antivirus,Direct Sales,Business,8918,5,1983,No
21-08-2022,Europe,Antivirus,Partner,Consumer,5922,11,610,No
22-08-2022,Australia,Database,Direct Sales,Consumer,9183,14,1101,No
23-08-2022,Asia,ERP,Online,Consumer,5511,19,565,No
24-08-2022,Europe,ERP,Direct Sales,Business,5109,3,799,Yes
25-08-2022,North America,CRM,Direct Sales,Consumer,2301,10,1861,Yes
26-08-2022,Australia,Antivirus,Partner,Business,5493,6,645,Yes
27-08-2022,South America,Database,Direct Sales,Business,1492,3,1785,No
28-08-2022,Australia,Antivirus,Partner,Consumer,8710,2,767,Yes
29-08-2022,South America,DevTools,Direct Sales,Consumer,6791,13,1793,No
30-08-2022,Australia,Antivirus,Online,Consumer,9937,18,1307,Yes
31-08-2022,Australia,Antivirus,Online,Consumer,1012,2,1817,No
01-09-2022,Australia,ERP,Partner,Business,2483,15,728,Yes
02-09-2022,South America,Database,Partner,Business,8784,5,1643,No
03-09-2022,South America,Antivirus,Direct Sales,Consumer,4013,15,1521,Yes
04-09-2022,Australia,ERP,Direct Sales,Business,4716,17,1314,Yes
05-09-2022,Europe,CRM,Online,Consumer,8620,2,1716,Yes
06-09-2022,Asia,ERP,Direct Sales,Consumer,5266,18,1472,No
07-09-2022,Asia,ERP,Online,Consumer,2015,15,1816,Yes
08-09-2022,Asia,ERP,Partner,Consumer,8931,3,1072,Yes
09-09-2022,South America,Antivirus,Direct Sales,Business,408,5,1385,Yes
10-09-2022,South America,Antivirus,Partner,Business,8964,11,1806,No
11-09-2022,Europe,CRM,Direct Sales,Consumer,600,9,822,Yes
12-09-2022,Asia,DevTools,Online,Consumer,6692,5,1229,No
13-09-2022,Asia,DevTools,Partner,Business,810,1,1941,Yes
14-09-2022,Australia,DevTools,Partner,Business,7092,14,1210,Yes
15-09-2022,South America,CRM,Direct Sales,Business,436,5,879,No
16-09-2022,Asia,DevTools,Partner,Consumer,8440,8,1027,No
17-09-2022,Europe,DevTools,Online,Business,4713,14,1828,Yes
18-09-2022,Europe,ERP,Partner,Consumer,1025,16,1932,No
19-09-2022,Asia,Antivirus,Partner,Consumer,7098,6,1925,No
20-09-2022,South America,Antivirus,Direct Sales,Business,4944,8,1548,No
21-09-2022,Europe,ERP,Partner,Consumer,1990,2,1264,Yes
22-09-2022,Australia,ERP,Direct Sales,Business,255,19,774,Yes
23-09-2022,Europe,ERP,Direct Sales,Consumer,4238,9,685,Yes
24-09-2022,North America,Antivirus,Partner,Consumer,948,5,590,No
25-09-2022,North America,DevTools,Online,Consumer,1032,5,527,No
26-09-2022,South America,ERP,Direct Sales,Consumer,2747,19,1817,No
27-09-2022,Asia,CRM,Partner,Consumer,6342,4,1714,No
28-09-2022,South America,ERP,Direct Sales,Consumer,5346,16,1352,Yes
29-09-2022,South America,Database,Online,Business,783,16,1998,No
30-09-2022,South America,ERP,Online,Business,9687,16,1930,Yes
01-10-2022,South America,Antivirus,Direct Sales,Consumer,8883,7,1483,No
02-10-2022,Australia,ERP,Online,Business,2666,18,1197,Yes
03-10-2022,Australia,Database,Partner,Consumer,1311,1,728,Yes
04-10-2022,Europe,CRM,Partner,Business,9430,3,1273,No
05-10-2022,North America,DevTools,Direct Sales,Business,4665,8,737,No
06-10-2022,South America,ERP,Online,Consumer,3181,1,1098,No
07-10-2022,Europe,Database,Partner,Business,4955,7,1914,Yes
08-10-2022,North America,Database,Partner,Consumer,7750,7,1013,No
09-10-2022,Asia,CRM,Partner,Business,1767,8,729,Yes
10-10-2022,Australia,Antivirus,Direct Sales,Consumer,7698,19,1374,No
11-10-2022,North America,ERP,Direct Sales,Business,7520,17,1404,Yes
12-10-2022,Asia,Database,Partner,Consumer,5440,11,791,No
13-10-2022,North America,CRM,Partner,Business,8672,15,795,Yes
14-10-2022,Australia,DevTools,Online,Consumer,1408,9,1984,Yes
15-10-2022,Australia,Database,Online,Business,5995,17,865,Yes
16-10-2022,Europe,CRM,Online,Consumer,4548,11,1757,No
17-10-2022,South America,Antivirus,Direct Sales,Business,4281,6,1205,Yes
18-10-2022,North America,Antivirus,Partner,Consumer,2600,9,1152,No
19-10-2022,North America,Database,Direct Sales,Business,3786,18,942,Yes
20-10-2022,Asia,Database,Partner,Consumer,1171,2,1661,No
21-10-2022,Australia,ERP,Online,Consumer,2591,4,1821,No
22-10-2022,North America,CRM,Online,Consumer,2792,18,892,Yes
23-10-2022,Australia,Database,Online,Consumer,7235,1,643,Yes
24-10-2022,North America,ERP,Online,Business,581,11,705,No
25-10-2022,Europe,ERP,Partner,Business,6547,3,1689,Yes
26-10-2022,South America,Database,Online,Business,2292,8,1154,No
27-10-2022,North America,Antivirus,Partner,Consumer,910,5,698,No
28-10-2022,Australia,CRM,Partner,Consumer,3078,5,1010,No
29-10-2022,Europe,CRM,Direct Sales,Consumer,2322,11,1271,No
30-10-2022,North America,Antivirus,Online,Consumer,5565,12,1778,No
31-10-2022,Asia,Database,Online,Consumer,3638,9,1463,No
01-11-2022,South America,CRM,Direct Sales,Business,9663,13,764,No
02-11-2022,North America,Database,Partner,Business,9639,3,738,No
03-11-2022,Europe,Database,Online,Business,4493,13,1119,No
04-11-2022,Asia,ERP,Partner,Consumer,7971,11,613,Yes
05-11-2022,Europe,Antivirus,Direct Sales,Consumer,231,11,1633,No
06-11-2022,Europe,Database,Partner,Consumer,5523,7,1102,No
07-11-2022,Asia,DevTools,Online,Consumer,7459,17,1015,No
08-11-2022,Europe,Antivirus,Partner,Consumer,2248,16,1264,Yes
09-11-2022,Asia,CRM,Partner,Consumer,706,14,1563,Yes
10-11-2022,North America,ERP,Online,Consumer,1644,1,1354,Yes
11-11-2022,Asia,CRM,Online,Business,4474,11,1704,Yes
12-11-2022,Asia,CRM,Partner,Business,5113,13,1444,Yes
13-11-2022,South America,Antivirus,Partner,Consumer,3871,1,1682,Yes
14-11-2022,Asia,CRM,Direct Sales,Consumer,4456,2,1545,No
15-11-2022,Asia,Database,Online,Consumer,4755,9,790,Yes
16-11-2022,North America,CRM,Partner,Business,7717,13,579,Yes
17-11-2022,South America,ERP,Online,Business,1142,5,1855,Yes
18-11-2022,Australia,ERP,Direct Sales,Consumer,7713,9,1918,Yes
19-11-2022,North America,DevTools,Partner,Business,6917,13,1590,Yes
20-11-2022,North America,ERP,Partner,Business,7442,5,1586,No
21-11-2022,Australia,CRM,Partner,Business,7371,15,905,No
22-11-2022,Asia,ERP,Online,Consumer,4759,7,1314,Yes
23-11-2022,Europe,Antivirus,Direct Sales,Business,2193,14,1988,No
24-11-2022,South America,ERP,Online,Business,5413,16,1784,Yes
25-11-2022,Europe,Database,Partner,Consumer,9584,6,957,No
26-11-2022,Australia,Antivirus,Direct Sales,Consumer,5926,2,952,No
27-11-2022,North America,DevTools,Partner,Business,209,16,1225,Yes
28-11-2022,North America,Database,Partner,Consumer,691,19,1107,Yes
29-11-2022,South America,CRM,Online,Business,9929,5,1057,Yes
30-11-2022,North America,CRM,Partner,Business,812,4,1440,No
01-12-2022,North America,CRM,Direct Sales,Consumer,556,14,517,No
02-12-2022,South America,Database,Partner,Consumer,3595,6,1645,Yes
03-12-2022,South America,Database,Partner,Business,9696,8,1610,Yes
04-12-2022,Australia,Database,Online,Consumer,3255,3,1745,No
05-12-2022,North America,Antivirus,Direct Sales,Consumer,4158,4,1762,Yes
06-12-2022,North America,Antivirus,Online,Business,6377,1,1350,No
07-12-2022,Australia,CRM,Partner,Business,339,2,1670,No
08-12-2022,Asia,ERP,Online,Business,8988,13,1239,Yes
09-12-2022,Asia,CRM,Online,Business,5242,9,1927,No
10-12-2022,Asia,DevTools,Online,Business,4721,12,786,No
11-12-2022,Australia,Antivirus,Online,Business,8621,10,1873,No
12-12-2022,North America,Database,Partner,Consumer,9535,10,888,No
13-12-2022,Australia,Antivirus,Partner,Consumer,4292,18,654,Yes
14-12-2022,Australia,Database,Direct Sales,Business,1807,12,1159,No
15-12-2022,Asia,DevTools,Online,Consumer,8176,16,1422,Yes
16-12-2022,Europe,DevTools,Online,Consumer,4092,6,846,No
17-12-2022,North America,Antivirus,Direct Sales,Business,9362,10,1334,Yes
18-12-2022,Asia,Database,Online,Consumer,9504,15,1712,No
19-12-2022,Europe,DevTools,Direct Sales,Consumer,1237,9,886,No
20-12-2022,Europe,CRM,Partner,Business,9570,2,1370,Yes
21-12-2022,South America,CRM,Direct Sales,Consumer,3746,18,1009,No
22-12-2022,North America,Database,Online,Consumer,6498,12,1295,Yes
23-12-2022,Europe,Antivirus,Direct Sales,Business,444,3,1500,No
24-12-2022,Asia,DevTools,Partner,Consumer,8900,7,1026,Yes
25-12-2022,South America,Antivirus,Online,Consumer,6452,9,1992,Yes
26-12-2022,North America,CRM,Partner,Consumer,6471,8,1346,No
27-12-2022,Australia,DevTools,Partner,Business,9032,6,1737,No
28-12-2022,Asia,Antivirus,Direct Sales,Business,5133,1,1588,No
29-12-2022,Europe,ERP,Partner,Consumer,4164,14,1779,No
30-12-2022,Europe,Database,Online,Consumer,8675,16,761,No
31-12-2022,Asia,Database,Partner,Business,7450,16,834,No
01-01-2022,Europe,ERP,Partner,Business,9495,4,1231,No
02-01-2022,South America,CRM,Direct Sales,Consumer,9407,6,1778,No
03-01-2022,North America,DevTools,Partner,Business,3885,15,796,No
04-01-2022,South America,Database,Direct Sales,Consumer,4525,8,1957,Yes
05-01-2022,Europe,ERP,Direct Sales,Consumer,2634,1,691,Yes
06-01-2022,Australia,ERP,Online,Business,6640,13,763,Yes
07-01-2022,North America,CRM,Online,Business,3709,18,751,No
08-01-2022,North America,CRM,Online,Consumer,7882,18,1379,Yes
09-01-2022,Asia,Antivirus,Online,Consumer,1303,13,1876,No
10-01-2022,Asia,Database,Direct Sales,Business,1252,14,883,No
11-01-2022,Australia,Antivirus,Partner,Consumer,2124,11,1330,No
12-01-2022,North America,ERP,Online,Business,934,7,764,No
13-01-2022,Australia,DevTools,Online,Business,6238,18,1447,Yes
14-01-2022,Asia,DevTools,Online,Business,1559,4,685,Yes
15-01-2022,Asia,CRM,Partner,Business,1684,17,1237,Yes
16-01-2022,North America,DevTools,Online,Business,241,19,1483,No
17-01-2022,South America,DevTools,Partner,Consumer,7843,14,1369,No
18-01-2022,Europe,DevTools,Direct Sales,Business,8142,10,710,Yes
19-01-2022,Asia,ERP,Direct Sales,Business,1704,6,742,No
20-01-2022,Asia,DevTools,Direct Sales,Business,7421,18,1507,Yes
21-01-2022,South America,DevTools,Partner,Business,4392,4,1713,Yes
22-01-2022,South America,DevTools,Online,Business,2472,11,1862,Yes
23-01-2022,Australia,Antivirus,Online,Business,6252,13,1720,No
24-01-2022,Australia,ERP,Online,Business,1867,8,1961,Yes
25-01-2022,Europe,CRM,Online,Consumer,7593,10,1112,No
26-01-2022,Europe,Antivirus,Online,Consumer,571,11,997,Yes
27-01-2022,North America,Database,Partner,Consumer,9595,3,542,No
28-01-2022,Australia,ERP,Direct Sales,Consumer,812,15,1175,No
29-01-2022,Asia,ERP,Online,Business,5837,8,1477,Yes
30-01-2022,Australia,Database,Direct Sales,Consumer,9032,18,1723,No
31-01-2022,Asia,Database,Partner,Business,218,1,901,No
01-02-2022,South America,Database,Partner,Consumer,5035,8,1270,No
02-02-2022,Australia,CRM,Online,Consumer,3565,3,1493,Yes
03-02-2022,South America,DevTools,Partner,Business,5845,1,1327,No
04-02-2022,Europe,ERP,Direct Sales,Business,2332,16,911,Yes
05-02-2022,Europe,DevTools,Online,Consumer,743,9,1694,Yes
06-02-2022,North America,DevTools,Online,Consumer,6297,17,760,No
07-02-2022,Australia,Database,Direct Sales,Consumer,4227,16,1857,Yes
08-02-2022,South America,CRM,Online,Consumer,6263,6,1929,Yes
09-02-2022,Asia,Antivirus,Online,Business,2184,7,1048,Yes
10-02-2022,Europe,CRM,Direct Sales,Consumer,3454,16,1064,Yes
11-02-2022,Europe,DevTools,Online,Consumer,5661,8,1615,Yes
12-02-2022,Asia,CRM,Online,Consumer,5972,10,1184,No
13-02-2022,South America,Database,Direct Sales,Consumer,3786,14,543,No
14-02-2022,South America,Antivirus,Partner,Consumer,2873,11,1880,Yes
15-02-2022,Australia,Database,Direct Sales,Business,2810,2,1146,Yes
16-02-2022,Australia,Antivirus,Online,Business,1830,12,805,No
17-02-2022,North America,DevTools,Direct Sales,Business,3322,13,1333,No
18-02-2022,Europe,Antivirus,Online,Business,2074,15,828,No
19-02-2022,Australia,Antivirus,Online,Business,6375,12,809,Yes
20-02-2022,South America,Antivirus,Direct Sales,Consumer,5734,13,1319,Yes
21-02-2022,Asia,CRM,Online,Business,3888,8,1087,No
22-02-2022,South America,CRM,Partner,Business,3326,16,1359,Yes
23-02-2022,Europe,DevTools,Online,Consumer,2452,3,1995,No
24-02-2022,South America,Antivirus,Direct Sales,Business,5401,13,1789,No
25-02-2022,North America,ERP,Partner,Business,9197,12,512,Yes
26-02-2022,Europe,DevTools,Partner,Business,6888,19,576,No
27-02-2022,Asia,Antivirus,Online,Business,7470,2,1415,No
28-02-2022,North America,Antivirus,Direct Sales,Consumer,8360,1,1439,No
01-03-2022,Europe,CRM,Online,Consumer,3581,8,1817,No
02-03-2022,Asia,DevTools,Online,Business,722,9,1444,No
03-03-2022,North America,Antivirus,Direct Sales,Consumer,6263,8,842,Yes
04-03-2022,North America,Antivirus,Direct Sales,Business,1968,17,1203,No
05-03-2022,Europe,DevTools,Online,Consumer,5734,9,1713,Yes
06-03-2022,Australia,ERP,Partner,Consumer,7421,6,1884,Yes
07-03-2022,North America,DevTools,Online,Consumer,7858,15,855,No
08-03-2022,North America,DevTools,Partner,Consumer,3088,13,1309,No
09-03-2022,Asia,ERP,Online,Consumer,5173,12,738,No
10-03-2022,South America,DevTools,Direct Sales,Consumer,6248,13,1245,Yes
11-03-2022,Europe,Antivirus,Partner,Consumer,8213,7,635,Yes
12-03-2022,Europe,DevTools,Direct Sales,Consumer,7638,18,1913,Yes
13-03-2022,Australia,ERP,Direct Sales,Consumer,9881,14,1457,No
14-03-2022,Australia,Database,Direct Sales,Consumer,180,11,1781,No
15-03-2022,Europe,DevTools,Direct Sales,Consumer,4431,14,1997,No
16-03-2022,Australia,CRM,Direct Sales,Business,2635,17,774,No
17-03-2022,Asia,Antivirus,Online,Consumer,1287,2,1541,No
18-03-2022,Europe,Antivirus,Partner,Business,9124,19,1830,Yes
19-03-2022,Australia,CRM,Online,Consumer,9980,16,1364,Yes
20-03-2022,Europe,CRM,Online,Business,1888,10,1460,Yes
21-03-2022,South America,DevTools,Online,Business,480,8,1112,No
22-03-2022,North America,CRM,Direct Sales,Business,2823,5,1512,No
23-03-2022,Europe,Database,Online,Consumer,8365,7,1093,Yes
24-03-2022,North America,ERP,Partner,Consumer,3010,13,1215,No
25-03-2022,Australia,CRM,Online,Consumer,663,16,654,Yes
26-03-2022,North America,CRM,Direct Sales,Consumer,620,5,512,No
27-03-2022,Europe,Database,Partner,Business,4331,16,583,No
28-03-2022,South America,Antivirus,Partner,Consumer,9325,15,789,No
